ID	O2 (µM)	Eh (mV)	H2S (µM)	S0 (mg g^-1 DW)	OM (mg g^-1 DW)	PA (× 10^7 cells g^-1 FW)
356	16.9192677142857	174.29	10.8692	0	100.92	19.54
357	0	-185.25	391.1788	0	76.92	7.24
358	0	-211.235	819.9692	0	67.57	2.6
359	0	-215.485	NA	0.0007	53.28	2.36
360	24.9027594285714	234.29	0.0254916664958	0.03	105.79	23.3
361	0	53.815	3.46458229064941	0.16	103.1	10.89
362	0	-42.095	2.39541446685791	0	99.48	9.34
363	0	-82.255	NA	0	70.42	4.02
376	0.164840333333333	175.605	21.3876	0.0906	88.5	30.72
377	0	-167.345	94.238	0.0195	90.32	18.96
378	0	-222.86	96.61	0.0033	93.22	5.62
379	0	-248.8	NA	0.0001	80.88	7.2
380	0	242.015	0	0	103.08	24.09
381	0	144.47	0	0	94.51	19.98
382	0	69.765	0	0	60.98	15.04
383	0	24.625	NA	0	56.7	6.55
396	4.65631423076923	277.76	2.1664	0.1413	82.68	14.06
397	0	16.2	37.7464	0.1493	117.35	13.28
398	0	-137.6	41.22	0.0649	126.87	11.64
399	0	-210.45	NA	0.0106	101.96	4.55
400	36.4343034615385	273.205	0	0	107.19	13.3
401	0	124.465	0	0	91.77	9.93
402	0	16.705	0	0	89.36	10.62
403	0	-16.69	NA	0	62.26	6.12
