Group	Color	Taxlevel
B2M28_fa	darkgoldenrod2	
BD7-8_fa	darkmagenta	
Ectothiorhodospiraceae	forestgreen	
Thioalkalispiraceae	salmon	
Colwelliaceae	bisque1	
Vibrionaceae	gray	
Woeseiaceae	yellow	
Thiotrichaceae	red	
pItb-vmat-80_fa	lightblue	
Sulfurimonadaceae	yellow	
Sulfurovaceae	darksalmon	
Bifidobacterium	tomato2	GENUS
Bacteroides	dodgerblue3	
Porphyromonas	cornflowerblue	
Chloroplast_ge	forestgreen	
Helicobacter	violet	
Staphylococcus	salmon	
Enterococcus	cyan	
Lactobacillus	wheat3	
Streptococcus	yellow	
Clostridium_sensu_stricto_1	darkmagenta	
Neisseria	limegreen	
Escherichia-Shigella	sandybrown	
Acinetobacter	darkkhaki	
Spirulina_DRTO-55.2	yellow	
Pleurocapsa_PCC-7319	limegreen	
Acrophormium_PCC-7375	sienna	
Phormidesmis_ANT.LACV5.1	dodgerblue3	
Phormidium_MBIC10003	red	
Cyanobium_PCC-6307	cyan	
Synechococcus_CC9902	darkorange	
Schizothrix_LEGE_07164	turquoise3	
Formosa	forestgreen	
uncultured_Flavobacteriaceae	darkmagenta	
NS4_marine_group	yellow3	
NS5_marine_group	firebrick1	
NS11-12_marine_group_ge	yellow	
Balneola	darkorange4	
uncultured_Balneolaceae	tan	
uncultured_Rhodothermaceae	violet	
uncultured_Marinifilaceae	turquoise3	
Labilibacter	darkseagreen1	
uncultured_Marinilabiliaceae	gray40	
uncultured_Paludibacteraceae	skyblue4	
uncultured_Prolixibacteraceae	darkgoldenrod3	
uncultured_Chitinophagaceae	saddlebrown	
Lewinella	green	
uncultured_Saprospiraceae	orange	
uncultured_Amoebophilaceae	darkgrey	
uncultured_Bernardetiaceae	blueviolet	
uncultured_Cyclobacteriaceae	lightblue	
uncultured_Flammeovirgaceae	yellow	
uncultured_Spirosomaceae	dodgerblue3	
uncultured_Blattabacteriaceae	greenyellow	
uncultured_Crocinitomicaceae	bisque1	
uncultured_Cryomorphaceae	turquoise3	
Portibacter	dodgerblue3	
Rubidimonas	black	
Algitalea	gray	
OCS116_clade_ge	darkmagenta	
SAR116_clade_ge	violet	
Candidatus_Puniceispirillum	mistyrose	
Pseudahrensia	darkorange4	
Amylibacter	yellow	
Ascidiaceihabitans	firebrick1	
HIMB11	darkseagreen1	
AEGEAN-169_marine_group_ge	gray	
Clade_Ia	dodgerblue3	
Clade_Ib	deepskyblue3	
Clade_II_ge	lightskyblue	
Clade_III_ge	lightcyan2	
Aestuariibacter	darkmagenta	
Glaciecola	violet	
Arenicella	mistyrose	
Thioploca	gray40	
Methylotenera	orange	
OM43_clade	bisque1	
OM60(NOR5)_clade	lightcyan	
Litoricola	firebrick1	
Reinekea	dodgerblue3	
SAR86_clade_ge	orange3	
Granulosicoccus	gold2	
SUP05_cluster	forestgreen	
Leucothrix	darksalmon	
Vibrio	gray	
Desulfatitalea	firebrick1	
Desulfobulbus	orange3	
Desulfopila	yellow2	
Desulforhopalus	forestgreen	
Desulfotalea	darkolivegreen3	
P3OB-42_ge	darksalmon	
Stappiaceae_ge	darkkhaki	
